id,fname,lname,party,country,religion,position,creator,education,photo,status
9,Faride Raful,Raful,1,DO,Catolico,4,1,4,,0
8,Giancarlo,Marte Reyes,"1,3",DO,Catolico,2,1,1,,1
3,Fernando,Rodriguez,,DO,Protestante,2,1,2,politician/WIN_20220620_12_24_10_Pro.jpg,1
1,Luis,Abinader,1,DO,Catolico,3,1,2,politician/PRM_LOGO.png,1
10,Hector,Acosta,,DO,Catolico,4,101,1,,0
11,Ginnette,Altagracia,,DO,Catolico,4,156,1,,1
12,Pedro,Manuel,,DO,Catolico,4,67,1,,1
13,Cristobal,Castillo,,DO,Catolico,4,18,1,,0
14,Lia,Ynocencia,,DO,Catolico,4,180,1,,1
15,Ricardo,De,,DO,Catolico,4,89,1,,0
16,Milciades,Franjul,,DO,Catolico,4,83,1,,1
17,Melania,Salvador,,DO,Catolico,4,66,1,,0
18,Martin,Nolasco,,DO,Catolico,4,81,1,,0
19,Ramon,Pimentel,,DO,Catolico,4,80,1,,0
20,Franklin,Romero,,DO,Catolico,4,46,1,,1
21,Ivan,Silva,,DO,Catolico,4,194,1,,0
22,Antonio,Taveras,,DO,Catolico,4,37,1,,0
23,Lenin,Valdez,,DO,Catolico,4,16,1,,1
24,Alexis,Victoria,,DO,Catolico,4,102,1,,1
25,Santiago,Jose,,DO,Catolico,4,106,1,,0
26,Carlos,Gomez,,DO,Catolico,4,12,1,,1
